Time,RSteps,X,Y,Z
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,397,84,36719,232,3451
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,1,309,499,84,35986,232,3674
120,2,309,499,84,35986,232,3674
120,2,309,499,84,35986,232,3674
120,2,309,499,84,35986,232,3674
120,2,309,499,84,35986,232,3674
120,2,309,7344,84,34326,232,4189
120,2,309,7344,84,34326,232,4189
120,2,309,7344,84,34326,232,4189
120,2,309,9661,84,32666,232,4697
120,2,309,9661,84,32666,232,4697
120,2,310,2126,84,30908,232,5238
120,2,310,2126,84,30908,232,5238
120,2,310,2126,84,30908,232,5238
120,2,310,4446,84,29248,232,5746
120,2,310,4446,84,29248,232,5746
120,2,310,4446,84,29248,232,5746
120,2,310,6685,84,27637,232,6235
120,2,310,6685,84,27637,232,6235
120,2,310,6685,84,27637,232,6235
120,2,310,8987,84,25977,232,674
120,2,310,8987,84,25977,232,674
120,2,310,8987,84,25977,232,674
120,2,311,1487,84,24219,232,7288
