Time,RSteps,X,Y,Z
120,0,-3173.62,-5687.144,1267.057
119.98,0,-3173.62,-5687.144,1267.057
119.96,0,-3173.62,-5687.144,1267.057
119.94,0,-3173.62,-5687.144,1267.057
119.92,0,-3173.62,-5687.144,1267.057
119.9,0,-3173.62,-5687.144,1267.057
119.88,0,-3173.62,-5687.144,1267.057
119.86,0,-3173.62,-5687.144,1267.057
119.84,0,-3173.62,-5687.144,1267.057
119.82,0,-3173.62,-5687.144,1267.057
119.8,0,-3173.62,-5687.144,1267.057
119.78,0,-3173.62,-5687.144,1267.057
119.76,0,-3173.62,-5687.144,1267.057
119.74,0,-3173.62,-5687.144,1267.057
119.72,0,-3173.62,-5687.144,1267.057
119.7001,0,-3173.62,-5687.144,1267.057
119.6801,0,-3173.62,-5687.144,1267.057
119.6601,0,-3173.62,-5687.144,1267.057
119.6401,0,-3173.62,-5687.144,1267.057
119.6201,0,-3173.62,-5687.144,1267.057
119.6001,0,-3173.62,-5687.144,1267.057
119.5801,0,-3173.62,-5687.144,1267.057
119.5601,0,-3173.62,-5687.144,1267.057
119.5401,0,-3173.62,-5687.144,1267.057
119.5201,0,-3173.62,-5687.144,1267.057
119.5001,0,-3173.62,-5687.144,1267.057
119.4801,0,-3173.62,-5687.144,1267.057
119.4601,0,-3173.62,-5687.144,1267.057
119.4401,0,-3173.62,-5687.144,1267.057
119.4201,0,-3173.62,-5687.144,1267.057
119.4001,0,-3173.62,-5687.144,1267.057
119.3801,0,-3173.62,-5687.144,1267.057
119.3601,0,-3173.62,-5687.144,1267.057
119.3401,0,-3173.62,-5687.144,1267.057
119.3201,0,-3173.62,-5687.144,1267.057
119.3001,0,-3173.62,-5687.144,1267.057
119.2801,0,-3173.62,-5687.144,1267.057
119.2601,0,-3173.62,-5687.144,1267.057
119.2401,0,-3173.62,-5687.144,1267.057
119.2201,0,-3173.62,-5687.144,1267.057
119.2001,0,-3173.62,-5687.144,1267.057
119.1801,0,-3173.62,-5687.144,1267.057
119.1601,0,-3173.62,-5687.144,1267.057
119.1401,0,-3173.62,-5687.144,1267.057
119.1201,0,-3173.62,-5687.144,1267.057
119.1002,0,-3173.62,-5687.144,1267.057
119.0802,0,-3173.62,-5687.144,1267.057
119.0602,0,-3173.62,-5687.144,1267.057
119.0402,0,-3173.62,-5687.144,1267.057
119.0202,0,-3173.62,-5687.144,1267.057
119.0002,0,-3173.62,-5687.144,1267.057
118.9802,0,-3173.62,-5687.144,1267.057
118.9602,0,-3173.62,-5687.144,1267.057
118.9402,0,-3173.62,-5687.144,1267.057
118.9202,0,-3173.62,-5687.144,1267.057
118.9002,0,-3173.62,-5687.144,1267.057
118.8802,0,-3173.62,-5687.144,1267.057
118.8602,0,-3173.62,-5687.144,1267.057
118.8402,0,-3173.62,-5687.144,1267.057
118.8202,0,-3173.596,-5687.137,1267.034
118.8002,0,-3173.573,-5687.129,1267.011
118.7802,0,-3173.549,-5687.122,1266.988
118.7602,0,-3173.526,-5687.114,1266.965
118.7402,0,-3173.5,-5687.106,1266.94
118.7202,0,-3173.477,-5687.099,1266.917
118.7002,0,-3173.444,-5687.088,1266.886
118.6802,0,-3173.416,-5687.08,1266.859
118.6602,0,-3173.392,-5687.072,1266.835
118.6402,0,-3173.341,-5687.056,1266.786
118.6202,0,-3173.317,-5687.048,1266.763
118.6002,0,-3173.317,-5687.048,1266.763
118.5802,0,-3173.294,-5687.041,1266.74
118.5602,0,-3173.258,-5687.029,1266.705
118.5402,0,-3173.224,-5687.019,1266.672
118.5202,0,-3173.193,-5687.008,1266.641
118.5003,0,-3173.164,-5687,1266.613
118.4803,0,-3173.137,-5686.991,1266.587
118.4603,0,-3173.112,-5686.983,1266.562
118.4403,0,-3173.078,-5686.972,1266.53
118.4203,0,-3173.031,-5686.957,1266.484
118.4003,0,-3173.007,-5686.95,1266.46
118.3803,0,-3172.984,-5686.942,1266.438
118.3603,0,-3172.96,-5686.935,1266.415
118.3403,0,-3172.934,-5686.926,1266.39
118.3203,0,-3172.905,-5686.917,1266.361
118.3003,0,-3172.874,-5686.907,1266.331
118.2803,0,-3172.851,-5686.9,1266.309
118.2603,0,-3172.821,-5686.891,1266.28
118.2403,0,-3172.796,-5686.883,1266.256
118.2203,0,-3172.773,-5686.875,1266.233
118.2003,0,-3172.747,-5686.867,1266.207
